symbol,isin,company,industry
ANURAS,INE930P01018,Anupam Rasayan India Ltd.,Chemicals
APARINDS,INE372A01015,Apar Industries Ltd.,Capital Goods
APLAPOLLO,INE702C01027,APL Apollo Tubes Ltd.,Capital Goods
APOLLOTYRE,INE438A01022,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS,INE852O01025,Aptus Value Housing Finance India Ltd.,Financial Services
ARE&M,INE885A01032,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
ASAHIINDIA,INE439A01020,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY,INE208A01029,Ashok Leyland Ltd.,Capital Goods
ASTERDM,INE914M01019,Aster DM Healthcare Ltd.,Healthcare
ASTRAL,INE006I01046,Astral Ltd.,Capital Goods
ATGL,INE399L01023,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ATHERENERG,INE0LEZ01016,Ather Energy Ltd.,Automobile and Auto Components
ATUL,INE100A01010,Atul Ltd.,Chemicals
AUBANK,INE949L01017,AU Small Finance Bank Ltd.,Financial Services
AUROPHARMA,INE406A01037,Aurobindo Pharma Ltd.,Healthcare
AWL,INE699H01024,AWL Agri Business Ltd.,Fast Moving Consumer Goods
BAJAJHFL,INE377Y01014,Bajaj Housing Finance Ltd.,Financial Services
BALKRISIND,INE787D01026,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN,INE119A01028,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK,INE545U01014,Bandhan Bank Ltd.,Financial Services
BANKINDIA,INE084A01016,Bank of India,Financial Services
BATAINDIA,INE176A01028,Bata India Ltd.,Consumer Durables
BAYERCROP,INE462A01022,Bayer Cropscience Ltd.,Chemicals
BBTC,INE050A01025,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BDL,INE171Z01026,Bharat Dynamics Ltd.,Capital Goods
BELRISE,INE894V01022,Belrise Industries Ltd.,Automobile and Auto Components
BEML,INE258A01024,BEML Ltd.,Capital Goods
BERGEPAINT,INE463A01038,Berger Paints India Ltd.,Consumer Durables
BHARATFORG,INE465A01025,Bharat Forge Ltd.,Automobile and Auto Components
BHARTIHEXA,INE343G01021,Bharti Hexacom Ltd.,Telecommunication
BHEL,INE257A01026,Bharat Heavy Electricals Ltd.,Capital Goods
BIKAJI,INE00E101023,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BIOCON,INE376G01013,Biocon Ltd.,Healthcare
BLS,INE153T01027,BLS International Services Ltd.,Consumer Services
BLUEDART,INE233B01017,Blue Dart Express Ltd.,Services
BLUEJET,INE0KBH01020,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO,INE472A01039,Blue Star Ltd.,Consumer Durables
BRIGADE,INE791I01019,Brigade Enterprises Ltd.,Realty
BSE,INE118H01025,BSE Ltd.,Financial Services
BSOFT,INE836A01035,Birlasoft Ltd.,Information Technology
CAMS,INE596I01020,Computer Age Management Services Ltd.,Financial Services
CANFINHOME,INE477A01020,Can Fin Homes Ltd.,Financial Services
CANHLIFE,INE01TY01017,Canara HSBC Life Insurance Company Ltd.,Financial Services
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Ltd.,Healthcare
CARBORUNIV,INE120A01034,Carborundum Universal Ltd.,Capital Goods
CARTRADE,INE290S01011,Cartrade Tech Ltd.,Consumer Services
CASTROLIND,INE172A01027,Castrol India Ltd.,Oil Gas & Consumable Fuels
CCL,INE421D01022,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CDSL,INE736A01011,Central Depository Services (India) Ltd.,Financial Services
CEATLTD,INE482A01020,Ceat Ltd.,Automobile and Auto Components
CEMPRO,INE686A01026,Cemindia Projects Ltd.,Construction
CENTRALBK,INE483A01010,Central Bank of India,Financial Services
CESC,INE486A01021,CESC Ltd.,Power
CGCL,INE180C01042,Capri Global Capital Ltd.,Financial Services
CHALET,INE427F01016,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT,INE085A01013,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO,INE178A01016,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN,INE102B01014,Choice International Ltd.,Financial Services
CHOLAHLDNG,INE149A01033,Cholamandalam Financial Holdings Ltd.,Financial Services
CIEINDIA,INE536H01010,CIE Automotive India Ltd.,Automobile and Auto Components
CLEAN,INE227W01023,Clean Science and Technology Ltd.,Chemicals
COCHINSHIP,INE704P01025,Cochin Shipyard Ltd.,Capital Goods
COFORGE,INE591G01025,Coforge Ltd.,Information Technology
COHANCE,INE03QK01018,Cohance Lifesciences Ltd.,Healthcare
COLPAL,INE259A01022,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR,INE111A01025,Container Corporation of India Ltd.,Services
CONCORDBIO,INE338H01029,Concord Biotech Ltd.,Healthcare
COROMANDEL,INE169A01031,Coromandel International Ltd.,Chemicals
CPPLUS,INE819V01029,Aditya Infotech Ltd.,Capital Goods
CRAFTSMAN,INE00LO01017,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC,INE741K01010,CreditAccess Grameen Ltd.,Financial Services
CRISIL,INE007A01025,CRISIL Ltd.,Financial Services
CROMPTON,INE299U01018,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUB,INE491A01021,City Union Bank Ltd.,Financial Services
CYIENT,INE136B01020,Cyient Ltd.,Information Technology
DABUR,INE016A01026,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,INE00R701025,Dalmia Bharat Ltd.,Construction Materials
DATAPATTNS,INE0IX101010,Data Patterns (India) Ltd.,Capital Goods
DCMSHRIRAM,INE499A01024,DCM Shriram Ltd.,Diversified
DEEPAKFERT,INE501A01019,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DEEPAKNTR,INE288B01029,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,INE148O01028,Delhivery Ltd.,Services
DEVYANI,INE872J01023,Devyani International Ltd.,Consumer Services
DIXON,INE935N01020,Dixon Technologies (India) Ltd.,Consumer Durables
DOMS,INE321T01012,DOMS Industries Ltd.,Fast Moving Consumer Goods
ECLERX,INE738I01010,eClerx Services Ltd.,Services
EIDPARRY,INE126A01031,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
EIHOTEL,INE230A01023,EIH Ltd.,Consumer Services
ELECON,INE205B01031,Elecon Engineering Co. Ltd.,Capital Goods
ELGIEQUIP,INE285A01027,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,INE548C01032,Emami Ltd.,Fast Moving Consumer Goods
EMCURE,INE168P01015,Emcure Pharmaceuticals Ltd.,Healthcare
EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Ltd.,Capital Goods
ENDURANCE,INE913H01037,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,INE510A01028,Engineers India Ltd.,Construction
ERIS,INE406M01024,Eris Lifesciences Ltd.,Healthcare
ESCORTS,INE042A01014,Escorts Kubota Ltd.,Capital Goods
EXIDEIND,INE302A01020,Exide Industries Ltd.,Automobile and Auto Components
FACT,INE188A01015,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FEDERALBNK,INE171A01029,Federal Bank Ltd.,Financial Services
FINCABLES,INE235A01022,Finolex Cables Ltd.,Capital Goods
FIRSTCRY,INE02RE01045,Brainbees Solutions Ltd.,Consumer Services
FIVESTAR,INE128S01021,Five-Star Business Finance Ltd.,Financial Services
FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Ltd.,Chemicals
FORCEMOT,INE451A01017,Force Motors Ltd.,Automobile and Auto Components
FORTIS,INE061F01013,Fortis Healthcare Ltd.,Healthcare
FSL,INE684F01012,Firstsource Solutions Ltd.,Services
GABRIEL,INE524A01029,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,INE297H01019,Gallantt Ispat Ltd.,Capital Goods
GESHIP,INE017A01032,Great Eastern Shipping Co. Ltd.,Services
GICRE,INE481Y01014,General Insurance Corporation of India,Financial Services
GILLETTE,INE322A01010,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,INE068V01023,Gland Pharma Ltd.,Healthcare
GLAXO,INE159A01016,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,INE935A01035,Glenmark Pharmaceuticals Ltd.,Healthcare
GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
GMRAIRPORT,INE776C01039,GMR Airports Ltd.,Services
GODFRYPHLP,INE260B01028,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODIGIT,INE03JT01014,Go Digit General Insurance Ltd.,Financial Services
GODREJIND,INE233A01035,Godrej Industries Ltd.,Diversified
GODREJPROP,INE484J01027,Godrej Properties Ltd.,Realty
GPIL,INE177H01039,Godawari Power & Ispat Ltd.,Capital Goods
GRANULES,INE101D01020,Granules India Ltd.,Healthcare
GRAPHITE,INE371A01025,Graphite India Ltd.,Capital Goods
GRAVITA,INE024L01027,Gravita India Ltd.,Metals & Mining
GROWW,INE0HOQ01053,Billionbrains Garage Ventures Ltd.,Financial Services
GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GVT&D,INE200A01026,GE Vernova T&D India Ltd.,Capital Goods
HAVELLS,INE176B01034,Havells India Ltd.,Consumer Durables
HBLENGINE,INE292B01021,HBL Engineering Ltd.,Capital Goods
HDBFS,INE756I01012,HDB Financial Services Ltd.,Financial Services
HEG,INE545A01024,H.E.G. Ltd.,Capital Goods
HEROMOTOCO,INE158A01026,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,INE093A01041,Hexaware Technologies Ltd.,Information Technology
HFCL,INE548A01028,HFCL Ltd.,Telecommunication
HINDCOPPER,INE531E01026,Hindustan Copper Ltd.,Metals & Mining
HINDPETRO,INE094A01015,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HOMEFIRST,INE481N01025,Home First Finance Company India Ltd.,Financial Services
HONASA,INE0J5401028,Honasa Consumer Ltd.,Fast Moving Consumer Goods
HONAUT,INE671A01010,Honeywell Automation India Ltd.,Capital Goods
HSCL,INE019C01026,Himadri Speciality Chemical Ltd.,Chemicals
HUDCO,INE031A01017,Housing & Urban Development Corporation Ltd.,Financial Services
ICICIAMC,INE346A01027,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI,INE008A01015,IDBI Bank Ltd.,Financial Services
IDEA,INE669E01016,Vodafone Idea Ltd.,Telecommunication
IDFCFIRSTB,INE092T01019,IDFC First Bank Ltd.,Financial Services
IEX,INE022Q01020,Indian Energy Exchange Ltd.,Financial Services
IFCI,INE039A01010,IFCI Ltd.,Financial Services
IGIL,INE0Q9301021,International Gemological Institute Ltd.,Services
IGL,INE203G01027,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
IIFL,INE530B01024,IIFL Finance Ltd.,Financial Services
IKS,INE115Q01022,Inventurus Knowledge Solutions Ltd.,Information Technology
INDGN,INE065X01017,Indegene Ltd.,Healthcare
INDIACEM,INE383A01012,India Cements Ltd.,Construction Materials
INDIAMART,INE933S01016,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,INE562A01011,Indian Bank,Financial Services
INDUSINDBK,INE095A01012,IndusInd Bank Ltd.,Financial Services
INDUSTOWER,INE121J01017,Indus Towers Ltd.,Telecommunication
INOXWIND,INE066P01011,Inox Wind Ltd.,Capital Goods
INTELLECT,INE306R01017,Intellect Design Arena Ltd.,Information Technology
IOB,INE565A01014,Indian Overseas Bank,Financial Services
IPCALAB,INE571A01038,Ipca Laboratories Ltd.,Healthcare
IRB,INE821I01022,IRB Infrastructure Developers Ltd.,Construction
IRCON,INE962Y01021,IRCON International Ltd.,Construction
IRCTC,INE335Y01020,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IREDA,INE202E01016,Indian Renewable Energy Development Agency Ltd.,Financial Services
ITCHOTELS,INE379A01028,ITC Hotels Ltd.,Consumer Services
ITI,INE248A01017,ITI Ltd.,Telecommunication
J&KBANK,INE168A01041,Jammu & Kashmir Bank Ltd.,Financial Services
JAINREC,INE0YD401026,Jain Resource Recycling Ltd.,Metals & Mining
JBMA,INE927D01051,JBM Auto Ltd.,Automobile and Auto Components
JINDALSAW,INE324A01032,Jindal Saw Ltd.,Capital Goods
JKCEMENT,INE823G01014,J.K. Cement Ltd.,Construction Materials
JKTYRE,INE573A01042,JK Tyre & Industries Ltd.,Automobile and Auto Components
JMFINANCIL,INE780C01023,JM Financial Ltd.,Financial Services
JPPOWER,INE351F01018,Jaiprakash Power Ventures Ltd.,Power
JSL,INE220G01021,Jindal Stainless Ltd.,Metals & Mining
JSWCEMENT,INE718I01012,JSW Cement Ltd.,Construction Materials
JSWDULUX,INE133A01011,JSW Dulux Ltd.,Consumer Durables
JSWENERGY,INE121E01018,JSW Energy Ltd.,Power
JSWINFRA,INE880J01026,JSW Infrastructure Ltd.,Services
JUBLFOOD,INE797F01020,Jubilant Foodworks Ltd.,Consumer Services
JUBLINGREA,INE0BY001018,Jubilant Ingrevia Ltd.,Chemicals
JUBLPHARMA,INE700A01033,Jubilant Pharmova Ltd.,Healthcare
JWL,INE209L01016,Jupiter Wagons Ltd.,Capital Goods
JYOTICNC,INE980O01024,Jyoti CNC Automation Ltd.,Capital Goods
KAJARIACER,INE217B01036,Kajaria Ceramics Ltd.,Consumer Durables
KALYANKJIL,INE303R01014,Kalyan Jewellers India Ltd.,Consumer Durables
KARURVYSYA,INE036D01028,Karur Vysya Bank Ltd.,Financial Services
KAYNES,INE918Z01012,Kaynes Technology India Ltd.,Capital Goods
KEC,INE389H01022,Kec International Ltd.,Construction
KEI,INE878B01027,KEI Industries Ltd.,Capital Goods
KFINTECH,INE138Y01010,Kfin Technologies Ltd.,Financial Services
KIMS,INE967H01025,Krishna Institute of Medical Sciences Ltd.,Healthcare
KIRLOSENG,INE146L01010,Kirloskar Oil Eng Ltd.,Capital Goods
KPIL,INE220B01022,Kalpataru Projects International Ltd.,Construction
KPITTECH,INE04I401011,KPIT Technologies Ltd.,Information Technology
KPRMILL,INE930H01031,K.P.R. Mill Ltd.,Textiles
LALPATHLAB,INE600L01024,Dr. Lal Path Labs Ltd.,Healthcare
LATENTVIEW,INE0I7C01011,Latent View Analytics Ltd.,Information Technology
LAURUSLABS,INE947Q01028,Laurus Labs Ltd.,Healthcare
LEMONTREE,INE970X01018,Lemon Tree Hotels Ltd.,Consumer Services
LENSKART,INE956O01016,Lenskart Solutions Ltd.,Consumer Services
LGEINDIA,INE324D01010,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,INE115A01026,LIC Housing Finance Ltd.,Financial Services
LICI,INE0J1Y01017,Life Insurance Corporation of India,Financial Services
LINDEINDIA,INE473A01011,Linde India Ltd.,Chemicals
LLOYDSME,INE281B01032,Lloyds Metals And Energy Ltd.,Metals & Mining
LTF,INE498L01015,L&T Finance Ltd.,Financial Services
LTFOODS,INE818H01020,LT Foods Ltd.,Fast Moving Consumer Goods
LTTS,INE010V01017,L&T Technology Services Ltd.,Information Technology
LUPIN,INE326A01037,Lupin Ltd.,Healthcare
M&MFIN,INE774D01024,Mahindra & Mahindra Financial Services Ltd.,Financial Services
MAHABANK,INE457A01014,Bank of Maharashtra,Financial Services
MANAPPURAM,INE522D01027,Manappuram Finance Ltd.,Financial Services
MANKIND,INE634S01028,Mankind Pharma Ltd.,Healthcare
MAPMYINDIA,INE0BV301023,C.E. Info Systems Ltd.,Information Technology
MARICO,INE196A01026,Marico Ltd.,Fast Moving Consumer Goods
MCX,INE745G01043,Multi Commodity Exchange of India Ltd.,Financial Services
MEDANTA,INE474Q01031,Global Health Ltd.,Healthcare
MEESHO,INE0VDM01015,Meesho Ltd.,Consumer Services
MFSL,INE180A01020,Max Financial Services Ltd.,Financial Services
MGL,INE002S01010,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
MINDACORP,INE842C01021,Minda Corporation Ltd.,Automobile and Auto Components
MMTC,INE123F01029,MMTC Ltd.,Services
MOTILALOFS,INE338I01027,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,INE356A01018,MphasiS Ltd.,Information Technology
MRF,INE883A01011,MRF Ltd.,Automobile and Auto Components
MRPL,INE103A01014,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
MSUMI,INE0FS801015,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
NAM-INDIA,INE298J01013,Nippon Life India Asset Management Ltd.,Financial Services
NATCOPHARM,INE987B01026,NATCO Pharma Ltd.,Healthcare
NATIONALUM,INE139A01034,National Aluminium Co. Ltd.,Metals & Mining
NAUKRI,INE663F01032,Info Edge (India) Ltd.,Consumer Services
NAVA,INE725A01030,Nava Ltd.,Power
NAVINFLUOR,INE048G01026,Navin Fluorine International Ltd.,Chemicals
NBCC,INE095N01031,NBCC (India) Ltd.,Construction
NCC,INE868B01028,NCC Ltd.,Construction
NETWEB,INE0NT901020,Netweb Technologies India Ltd.,Information Technology
NEULANDLAB,INE794A01010,Neuland Laboratories Ltd.,Healthcare
NEWGEN,INE619B01017,Newgen Software Technologies Ltd.,Information Technology
NH,INE410P01011,Narayana Hrudayalaya Ltd.,Healthcare
NHPC,INE848E01016,NHPC Ltd.,Power
NIACL,INE470Y01017,The New India Assurance Company Ltd.,Financial Services
NIVABUPA,INE995S01015,Niva Bupa Health Insurance Company Ltd.,Financial Services
NLCINDIA,INE589A01014,NLC India Ltd.,Power
NMDC,INE584A01023,NMDC Ltd.,Metals & Mining
NSLNISP,INE0NNS01018,NMDC Steel Ltd.,Metals & Mining
NTPCGREEN,INE0ONG01011,NTPC Green Energy Ltd.,Power
NUVAMA,INE531F01023,Nuvama Wealth Management Ltd.,Financial Services
NUVOCO,INE118D01016,Nuvoco Vistas Corporation Ltd.,Construction Materials
NYKAA,INE388Y01029,FSN E-Commerce Ventures Ltd.,Consumer Services
OBEROIRLTY,INE093I01010,Oberoi Realty Ltd.,Realty
OFSS,INE881D01027,Oracle Financial Services Software Ltd.,Information Technology
OIL,INE274J01014,Oil India Ltd.,Oil Gas & Consumable Fuels
OLAELEC,INE0LXG01040,Ola Electric Mobility Ltd.,Automobile and Auto Components
OLECTRA,INE260D01016,Olectra Greentech Ltd.,Automobile and Auto Components
ONESOURCE,INE013P01021,Onesource Specialty Pharma Ltd.,Healthcare
PAGEIND,INE761H01022,Page Industries Ltd.,Textiles
PARADEEP,INE088F01024,Paradeep Phosphates Ltd.,Chemicals
PATANJALI,INE619A01035,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PAYTM,INE982J01020,One 97 Communications Ltd.,Financial Services
PCBL,INE602A01031,PCBL Chemical Ltd.,Chemicals
PERSISTENT,INE262H01021,Persistent Systems Ltd.,Information Technology
PETRONET,INE347G01014,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PFIZER,INE182A01018,Pfizer Ltd.,Healthcare
PFOCUS,INE367G01038,Prime Focus Ltd.,Media Entertainment & Publication
PGEL,INE457L01029,PG Electroplast Ltd.,Consumer Durables
PHOENIXLTD,INE211B01039,Phoenix Mills Ltd.,Realty
PIIND,INE603J01030,PI Industries Ltd.,Chemicals
PINELABS,INE15B701018,Pine Labs Ltd.,Financial Services
PIRAMALFIN,INE202B01038,Piramal Finance Ltd.,Financial Services
PNBHOUSING,INE572E01012,PNB Housing Finance Ltd.,Financial Services
POLICYBZR,INE417T01026,PB Fintech Ltd.,Financial Services
POLYCAB,INE455K01017,Polycab India Ltd.,Capital Goods
POLYMED,INE205C01021,Poly Medicure Ltd.,Healthcare
POONAWALLA,INE511C01022,Poonawalla Fincorp Ltd.,Financial Services
POWERINDIA,INE07Y701011,Hitachi Energy India Ltd.,Capital Goods
PPLPHARMA,INE0DK501011,Piramal Pharma Ltd.,Healthcare
PREMIERENE,INE0BS701011,Premier Energies Ltd.,Capital Goods
PRESTIGE,INE811K01011,Prestige Estates Projects Ltd.,Realty
PTCIL,INE596F01018,PTC Industries Ltd.,Capital Goods
PVRINOX,INE191H01014,PVR INOX Ltd.,Media Entertainment & Publication
PWL,INE0LP301011,Physicswallah Ltd.,Consumer Services
RADICO,INE944F01028,Radico Khaitan Ltd,Fast Moving Consumer Goods
RAILTEL,INE0DD101019,Railtel Corporation Of India Ltd.,Telecommunication
RAINBOW,INE961O01016,Rainbow Childrens Medicare Ltd.,Healthcare
RAMCOCEM,INE331A01037,The Ramco Cements Ltd.,Construction Materials
RBLBANK,INE976G01028,RBL Bank Ltd.,Financial Services
REDINGTON,INE891D01026,Redington Ltd.,Services
RHIM,INE743M01012,RHI MAGNESITA INDIA LTD.,Capital Goods
RITES,INE320J01015,RITES Ltd.,Construction
RKFORGE,INE399G01023,Ramkrishna Forgings Ltd.,Automobile and Auto Components
RPOWER,INE614G01033,Reliance Power Ltd.,Power
RRKABEL,INE777K01022,R R Kabel Ltd.,Capital Goods
RVNL,INE415G01027,Rail Vikas Nigam Ltd.,Construction
SAGILITY,INE0W2G01015,Sagility Ltd.,Information Technology
SAIL,INE114A01011,Steel Authority of India Ltd.,Metals & Mining
SAILIFE,INE570L01029,Sai Life Sciences Ltd.,Healthcare
SAMMAANCAP,INE148I01020,Sammaan Capital Ltd.,Financial Services
SAPPHIRE,INE806T01020,Sapphire Foods India Ltd.,Consumer Services
SARDAEN,INE385C01021,Sarda Energy and Minerals Ltd.,Metals & Mining
SAREGAMA,INE979A01025,Saregama India Ltd,Media Entertainment & Publication
SBFC,INE423Y01016,SBFC Finance Ltd.,Financial Services
SBICARD,INE018E01016,SBI Cards and Payment Services Ltd.,Financial Services
SCHAEFFLER,INE513A01022,Schaeffler India Ltd.,Automobile and Auto Components
SCHNEIDER,INE839M01018,Schneider Electric Infrastructure Ltd.,Capital Goods
SCI,INE109A01011,Shipping Corporation of India Ltd.,Services
SHYAMMETL,INE810G01011,Shyam Metalics and Energy Ltd.,Capital Goods
SIGNATURE,INE903U01023,Signatureglobal (India) Ltd.,Realty
SJVN,INE002L01015,SJVN Ltd.,Power
SOBHA,INE671H01015,Sobha Ltd.,Realty
SONACOMS,INE073K01018,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SONATSOFTW,INE269A01021,Sonata Software Ltd.,Information Technology
SPLPETRO,INE663A01033,Supreme Petrochem Ltd.,Chemicals
SRF,INE647A01010,SRF Ltd.,Chemicals
STARHEALTH,INE575P01011,Star Health and Allied Insurance Company Ltd.,Financial Services
SUMICHEM,INE258G01013,Sumitomo Chemical India Ltd.,Chemicals
SUNDARMFIN,INE660A01013,Sundaram Finance Ltd.,Financial Services
SUNTV,INE424H01027,Sun TV Network Ltd.,Media Entertainment & Publication
SUPREMEIND,INE195A01028,Supreme Industries Ltd.,Capital Goods
SUZLON,INE040H01021,Suzlon Energy Ltd.,Capital Goods
SWANCORP,INE665A01038,Swan Corp Ltd.,Chemicals
SWIGGY,INE00H001014,Swiggy Ltd.,Consumer Services
SYNGENE,INE398R01022,Syngene International Ltd.,Healthcare
SYRMA,INE0DYJ01015,Syrma SGS Technology Ltd.,Capital Goods
TARIL,INE763I01026,Transformers And Rectifiers (India) Ltd.,Capital Goods
TATACHEM,INE092A01019,Tata Chemicals Ltd.,Chemicals
TATACOMM,INE151A01013,Tata Communications Ltd.,Telecommunication
TATAELXSI,INE670A01012,Tata Elxsi Ltd.,Information Technology
TATAINVEST,INE672A01026,Tata Investment Corporation Ltd.,Financial Services
TATATECH,INE142M01025,Tata Technologies Ltd.,Information Technology
TBOTEK,INE673O01025,TBO Tek Ltd.,Consumer Services
TECHNOE,INE285K01026,Techno Electric & Engineering Company Ltd.,Construction
TEGA,INE011K01018,Tega Industries Ltd.,Capital Goods
TEJASNET,INE010J01012,Tejas Networks Ltd.,Telecommunication
TENNIND,INE19RI01016,Tenneco Clean Air India Ltd.,Automobile and Auto Components
THELEELA,INE0AQ201015,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
THERMAX,INE152A01029,Thermax Ltd.,Capital Goods
TIINDIA,INE974X01010,Tube Investments of India Ltd.,Automobile and Auto Components
TIMKEN,INE325A01013,Timken India Ltd.,Capital Goods
TITAGARH,INE615H01020,Titagarh Rail Systems Ltd.,Capital Goods
TORNTPOWER,INE813H01021,Torrent Power Ltd.,Power
TRAVELFOOD,INE103V01028,Travel Food Services Ltd.,Consumer Services
TRIDENT,INE064C01022,Trident Ltd.,Textiles
TRITURBINE,INE152M01016,Triveni Turbine Ltd.,Capital Goods
TTML,INE517B01013,Tata Teleservices (Maharashtra) Ltd.,Telecommunication
UBL,INE686F01025,United Breweries Ltd.,Fast Moving Consumer Goods
UCOBANK,INE691A01018,UCO Bank,Financial Services
UNOMINDA,INE405E01023,UNO Minda Ltd.,Automobile and Auto Components
UPL,INE628A01036,UPL Ltd.,Chemicals
URBANCO,INE0CAZ01013,Urban Company Ltd.,Consumer Services
USHAMART,INE228A01035,Usha Martin Ltd.,Capital Goods
UTIAMC,INE094J01016,UTI Asset Management Company Ltd.,Financial Services
VIJAYA,INE043W01024,Vijaya Diagnostic Centre Ltd.,Healthcare
VMM,INE01EA01019,Vishal Mega Mart Ltd.,Consumer Services
VOLTAS,INE226A01021,Voltas Ltd.,Consumer Durables
VTL,INE825A01020,Vardhman Textiles Ltd.,Textiles
WAAREEENER,INE377N01017,Waaree Energies Ltd.,Capital Goods
WELCORP,INE191B01025,Welspun Corp Ltd.,Capital Goods
WELSPUNLIV,INE192B01031,Welspun Living Ltd.,Textiles
