symbol,isin,company,industry
JSFB,INE953L01027,Jana Small Finance Bank Ltd.,Financial Services
JSLL,INE0J5801029,Jeena Sikho Lifecare Ltd.,Consumer Services
JUSTDIAL,INE599M01018,Justdial Ltd.,Consumer Services
JYOTHYLAB,INE668F01031,Jyothy Labs Ltd.,Fast Moving Consumer Goods
KANSAINER,INE531A01024,Kansai Nerolac Paints Ltd.,Consumer Durables
KIRLOSBROS,INE732A01036,Kirloskar Brothers Ltd.,Capital Goods
KIRLPNU,INE811A01020,Kirloskar Pneumatic Company Ltd.,Capital Goods
KITEX,INE602G01020,Kitex Garments Ltd.,Textiles
KNRCON,INE634I01029,KNR Constructions Ltd.,Construction
KPIGREEN,INE542W01025,KPI Green Energy Ltd.,Power
KRBL,INE001B01026,KRBL Ltd.,Fast Moving Consumer Goods
KRN,INE0Q3J01015,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods
KSB,INE999A01023,KSB Ltd.,Capital Goods
KSCL,INE455I01029,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods
KTKBANK,INE614B01018,Karnataka Bank Ltd.,Financial Services
LLOYDSENGG,INE093R01011,Lloyds Engineering Works Ltd.,Capital Goods
LLOYDSENT,INE080I01025,Lloyds Enterprises Ltd.,Metals & Mining
LOTUSDEV,INE0V9Q01010,Sri Lotus Developers and Realty Ltd.,Realty
LUMAXTECH,INE872H01027,Lumax Auto Technologies Ltd.,Automobile and Auto Components
LXCHEM,INE576O01020,Laxmi Organic Industries Ltd.,Chemicals
MAHSCOOTER,INE288A01013,Maharashtra Scooters Ltd.,Financial Services
MAHSEAMLES,INE271B01025,Maharashtra Seamless Ltd.,Capital Goods
MANORAMA,INE00VM01036,Manorama Industries Ltd.,Fast Moving Consumer Goods
MANYAVAR,INE825V01034,Vedant Fashions Ltd.,Consumer Services
MARKSANS,INE750C01026,Marksans Pharma Ltd.,Healthcare
MASTEK,INE759A01021,Mastek Ltd.,Information Technology
MEDPLUS,INE804L01022,Medplus Health Services Ltd.,Consumer Services
METROPOLIS,INE112L01020,Metropolis Healthcare Ltd.,Healthcare
MIDHANI,INE099Z01011,Mishra Dhatu Nigam Ltd.,Capital Goods
MOIL,INE490G01020,MOIL Ltd.,Metals & Mining
MSTCLTD,INE255X01014,MSTC Ltd.,Services
MTARTECH,INE864I01014,MTAR Technologies Ltd.,Capital Goods
NAZARA,INE418L01047,Nazara Technologies Ltd.,Media Entertainment & Publication
NEOGEN,INE136S01016,NEOGEN CHEMICALS LTD.,Chemicals
NESCO,INE317F01035,NESCO Ltd.,Services
NETWORK18,INE870H01013,Network18 Media & Investments Ltd.,Media Entertainment & Publication
NFL,INE870D01012,National Fertilizers Ltd.,Chemicals
OPTIEMUS,INE350C01017,Optiemus Infracom Ltd.,Telecommunication
ORIENTCEM,INE876N01018,Orient Cement Ltd.,Construction Materials
ORKLAINDIA,INE16NZ01023,Orkla India Ltd.,Fast Moving Consumer Goods
OSWALPUMPS,INE0BYP01024,Oswal Pumps Ltd.,Capital Goods
PARAS,INE045601023,Paras Defence and Space Technologies Ltd.,Capital Goods
PARKHOSPS,INE119201023,Park Medi World Ltd.,Healthcare
PCJEWELLER,INE785M01021,PC Jeweller Ltd.,Consumer Durables
PFOCUS,INE367G01038,Prime Focus Ltd.,Media Entertainment & Publication
PGIL,INE940H01022,Pearl Global Industries Ltd.,Textiles
PICCADIL,INE546C01010,Piccadily Agro Industries Ltd.,Fast Moving Consumer Goods
PNCINFRA,INE195J01029,PNC Infratech Ltd.,Construction
PNGJL,INE953R01016,P N Gadgil Jewellers Ltd.,Consumer Durables
POWERMECH,INE211R01019,Power Mech Projects Ltd.,Construction
PRAJIND,INE074A01025,Praj Industries Ltd.,Capital Goods
PRICOLLTD,INE726V01018,Pricol Ltd.,Automobile and Auto Components
PRIVISCL,INE959A01019,Privi Speciality Chemicals Ltd.,Chemicals
PRSMJOHNSN,INE010A01011,Prism Johnson Ltd.,Construction Materials
PRUDENT,INE00F201020,Prudent Corporate Advisory Services Ltd.,Financial Services
PTC,INE877F01012,PTC India Ltd.,Power
PURVA,INE323I01011,Puravankara Ltd.,Realty
QPOWER,INE0SII01026,Quality Power Electrical Equipments Ltd.,Capital Goods
QUESS,INE615P01015,Quess Corp Ltd.,Services
RAIN,INE855B01025,Rain Industries Ltd,Chemicals
RALLIS,INE613A01020,Rallis India Ltd.,Chemicals
RATEGAIN,INE0CLI01024,Rategain Travel Technologies Ltd.,Information Technology
RATNAMANI,INE703B01027,Ratnamani Metals & Tubes Ltd.,Capital Goods
RAYMONDLSL,INE02ID01020,Raymond Lifestyle Ltd.,Textiles
RBA,INE07T201019,Restaurant Brands Asia Ltd.,Consumer Services
RCF,INE027A01015,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals
REDTAPE,INE0LXT01019,Redtape Ltd.,Consumer Durables
REFEX,INE056I01025,Refex Industries Ltd.,Utilities
RELAXO,INE131B01039,Relaxo Footwears Ltd.,Consumer Durables
RELIGARE,INE621H01010,Religare Enterprises Ltd.,Financial Services
RENUKA,INE087H01022,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods
ROUTE,INE450U01017,Route Mobile Ltd.,Telecommunication
RTNINDIA,INE834M01019,RattanIndia Enterprises Ltd.,Consumer Services
RTNPOWER,INE399K01017,RattanIndia Power Ltd.,Power
RUBICON,INE506V01022,Rubicon Research Ltd.,Healthcare
SAATVIKGL,INE13B501022,Saatvik Green Energy Ltd.,Capital Goods
SAFARI,INE429E01023,Safari Industries (India) Ltd.,Consumer Durables
SAMHI,INE08U801020,Samhi Hotels Ltd.,Consumer Services
SANDUMA,INE149K01016,Sandur Manganese & Iron Ores Ltd.,Metals & Mining
SANOFICONR,INE0UOS01011,Sanofi Consumer Healthcare India Ltd.,Healthcare
SANSERA,INE953O01021,Sansera Engineering Ltd.,Automobile and Auto Components
SENCO,INE602W01027,Senco Gold Ltd.,Consumer Durables
SFL,INE916U01025,Sheela Foam Ltd.,Consumer Durables
SHAILY,INE151G01028,Shaily Engineering Plastics Ltd.,Consumer Durables
SHAKTIPUMP,INE908D01010,Shakti Pumps (India) Ltd.,Capital Goods
SHARDACROP,INE221J01015,Sharda Cropchem Ltd.,Chemicals
SHAREINDIA,INE932X01026,Share India Securities Ltd.,Financial Services
SHILPAMED,INE790G01031,Shilpa Medicare Ltd.,Healthcare
SHRIPISTON,INE526E01018,SPR Auto Technologies Ltd.,Automobile and Auto Components
SKFINDIA,INE640A01023,SKF India Ltd.,Automobile and Auto Components
SKFINDUS,INE2J8701016,SKF India (Industrial) Ltd.,Capital Goods
SKIPPER,INE439E01022,Skipper Ltd.,Capital Goods
SKYGOLD,INE01IU01018,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables
SMARTWORKS,INE0NAZ01010,Smartworks Coworking Spaces Ltd.,Services
SMLMAH,INE294B01019,SML Mahindra Ltd.,Capital Goods
SOUTHBANK,INE683A01023,South Indian Bank Ltd.,Financial Services
SPARC,INE232I01014,Sun Pharma Advanced Research Company Ltd.,Healthcare
STAR,INE939A01011,Strides Pharma Science Ltd.,Healthcare
STARCEMENT,INE460H01021,Star Cement Ltd.,Construction Materials
STLTECH,INE089C01029,Sterlite Technologies Ltd.,Telecommunication
STYL,INE04VU01023,Seshaasai Technologies Ltd.,Financial Services
STYRENIX,INE189B01011,Styrenix Performance Materials Ltd.,Chemicals
SUBROS,INE287B01021,Subros Ltd.,Capital Goods
SUDARSCHEM,INE659A01023,Sudarshan Chemical Industries Ltd.,Chemicals
SUDEEPPHRM,INE0QPI01025,Sudeep Pharma Ltd.,Chemicals
SUNTECK,INE805D01034,Sunteck Realty Ltd.,Realty
SUPRIYA,INE07RO01027,Supriya Lifescience Ltd.,Healthcare
SURYAROSNI,INE335A01020,Surya Roshni Ltd.,Capital Goods
SWSOLAR,INE00M201021,Sterling and Wilson Renewable Energy Ltd.,Construction
TANLA,INE483C01032,Tanla Platforms Ltd.,Information Technology
TARC,INE0EK901012,TARC Ltd.,Realty
TDPOWERSYS,INE419M01027,TD Power Systems Ltd.,Capital Goods
TEXRAIL,INE621L01012,Texmaco Rail & Eng. Ltd.,Capital Goods
THANGAMAYL,INE085J01014,Thangamayil Jewellery Ltd.,Consumer Durables
THOMASCOOK,INE332A01027,Thomas Cook (India) Ltd.,Consumer Services
THYROCARE,INE594H01019,Thyrocare Technologies Ltd.,Healthcare
TI,INE133E01013,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods
TIMETECHNO,INE508G01029,Time Technoplast Ltd.,Capital Goods
TIPSMUSIC,INE716B01029,Tips Music Ltd.,Media Entertainment & Publication
TMB,INE668A01016,Tamilnad Mercantile Bank Ltd.,Financial Services
TRANSRAILL,INE454P01035,Transrail Lighting Ltd.,Capital Goods
TRIVENI,INE256C01024,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods
TSFINV,INE202Z01029,TSF Investments Ltd.,Financial Services
TVSSCS,INE395N01027,TVS Supply Chain Solutions Ltd.,Services
UJJIVANSFB,INE551W01018,Ujjivan Small Finance Bank Ltd.,Financial Services
UTLSOLAR,INE12UR01024,Fujiyama Power Systems Ltd.,Capital Goods
V2RETAIL,INE945H01021,V2 Retail Ltd.,Consumer Services
VAIBHAVGBL,INE884A01027,Vaibhav Global Ltd.,Consumer Durables
VARROC,INE665L01035,Varroc Engineering Ltd.,Automobile and Auto Components
VGUARD,INE951I01027,V-Guard Industries Ltd.,Consumer Durables
VIKRAMSOLR,INE078V01014,Vikram Solar Ltd.,Capital Goods
VIPIND,INE054A01027,V.I.P. Industries Ltd.,Consumer Durables
VIYASH,INE807F01027,Viyash Scientific Ltd.,Healthcare
VMART,INE665J01013,V-Mart Retail Ltd.,Consumer Services
VOLTAMP,INE540H01012,Voltamp Transformers Ltd,Capital Goods
WAAREERTL,INE299N01021,Waaree Renewable Technologies Ltd.,Capital Goods
WABAG,INE956G01038,Va Tech Wabag Ltd.,Utilities
WAKEFIT,INE0E7301029,Wakefit Innovations Ltd.,Consumer Durables
WEBELSOLAR,INE855C01023,Websol Energy System Ltd.,Capital Goods
WELENT,INE625G01013,Welspun Enterprises Ltd.,Construction
WESTLIFE,INE274F01020,Westlife Foodworld Ltd.,Consumer Services
WEWORK,INE085001019,WeWork India Management Ltd.,Services
YATHARTH,INE0JO301016,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare
ZAGGLE,INE07K301024,Zaggle Prepaid Ocean Services Ltd.,Information Technology
